chargeback_id,transaction_id,customer_id,transaction_date,chargeback_date,amount,currency,reason_code,reason_category,reason_description,payment_method,country,plan,is_3ds,is_recurring,dispute_filed,dispute_won,resolution_date,status
cb_000000,tx_00000133,cust_008483,2024-10-20 04:33:00,2024-11-11 04:33:00,9.99,USD,10.5,fraud,Fraud - Card Present,visa,US,starter,True,True,True,,2024-12-18 04:33:00,escalated
cb_000001,tx_00000181,cust_009569,2024-06-12 06:23:00,2024-07-16 06:23:00,9.99,USD,4863,fraud,Cardholder Does Not Recognize,amex,US,starter,True,True,True,,2024-09-24 06:23:00,escalated
cb_000002,tx_00000224,cust_001976,2024-01-01 06:30:00,2024-02-03 06:30:00,9.99,USD,4837,fraud,No Cardholder Authorization,mastercard,DE,starter,False,True,True,True,2024-03-20 06:30:00,pending
cb_000003,tx_00000229,cust_005186,2024-09-10 12:07:00,2024-10-19 12:07:00,9.99,USD,13.1,service,Merchandise/Services Not Received,visa,CA,starter,True,False,True,,2024-11-25 12:07:00,escalated
cb_000004,tx_00000255,cust_005436,2024-09-09 17:19:00,2024-10-06 17:19:00,9.99,USD,4837,fraud,No Cardholder Authorization,visa,US,starter,False,True,True,,2024-11-11 17:19:00,escalated
cb_000005,tx_00000345,cust_009706,2024-02-28 15:43:00,2024-03-26 15:43:00,49.98,USD,13.1,service,Merchandise/Services Not Received,visa,US,pro,True,True,True,,2024-06-17 15:43:00,pending
cb_000006,tx_00000431,cust_004557,2024-05-01 06:37:00,2024-05-26 06:37:00,29.99,USD,4853,service,Cardholder Dispute,visa,UK,pro,False,True,True,True,2024-08-04 06:37:00,escalated
cb_000007,tx_00000480,cust_007899,2024-09-01 13:25:00,2024-10-04 13:25:00,99.99,USD,4837,fraud,No Cardholder Authorization,mastercard,AU,business,True,True,True,False,2024-12-18 13:25:00,escalated
cb_000008,tx_00000485,cust_000751,2024-03-17 23:37:00,2024-04-13 23:37:00,9.99,USD,4837,fraud,No Cardholder Authorization,mastercard,US,starter,True,True,False,True,2024-06-12 23:37:00,resolved
cb_000009,tx_00000489,cust_009728,2024-02-21 20:39:00,2024-03-18 20:39:00,9.99,USD,4837,fraud,No Cardholder Authorization,amex,US,starter,False,True,True,False,2024-06-12 20:39:00,pending
cb_000010,tx_00000513,cust_008314,2024-01-13 12:59:00,2024-02-04 12:59:00,29.99,USD,4837,fraud,No Cardholder Authorization,mastercard,US,pro,True,False,True,,2024-03-17 12:59:00,escalated
cb_000011,tx_00000649,cust_004761,2024-07-11 06:25:00,2024-08-01 06:25:00,9.99,USD,4863,fraud,Cardholder Does Not Recognize,visa,PK,starter,True,True,False,False,2024-09-17 06:25:00,pending
cb_000012,tx_00000677,cust_003306,2024-12-05 22:42:00,2025-01-14 22:42:00,99.99,USD,4863,fraud,Cardholder Does Not Recognize,visa,UK,business,False,True,True,,2025-02-20 22:42:00,pending
cb_000013,tx_00000742,cust_003051,2024-11-12 15:03:00,2024-12-20 15:03:00,9.99,USD,10.4,fraud,Card Absent Environment,visa,CA,starter,True,True,True,,2025-02-27 15:03:00,pending
cb_000014,tx_00000743,cust_004099,2024-09-08 06:05:00,2024-10-23 06:05:00,29.99,USD,11.1,authorization,Card Recovery Bulletin,visa,IN,pro,True,True,True,False,2025-01-07 06:05:00,resolved
cb_000015,tx_00000755,cust_009020,2024-11-12 10:19:00,2024-11-27 10:19:00,29.99,USD,13.1,service,Merchandise/Services Not Received,visa,PK,pro,False,False,False,True,2025-02-07 10:19:00,pending
cb_000016,tx_00000973,cust_006789,2024-05-21 16:42:00,2024-06-14 16:42:00,9.99,USD,4837,fraud,No Cardholder Authorization,visa,UK,starter,False,True,True,,2024-07-24 16:42:00,resolved
cb_000017,tx_00000983,cust_006379,2024-06-15 19:15:00,2024-07-04 19:15:00,9.99,USD,13.1,service,Merchandise/Services Not Received,mastercard,CA,starter,True,False,False,False,2024-09-13 19:15:00,pending
cb_000018,tx_00001029,cust_004209,2024-08-25 13:54:00,2024-10-06 13:54:00,99.99,USD,11.2,authorization,Declined Authorization,amex,UK,business,True,True,True,False,2024-11-23 13:54:00,pending
cb_000019,tx_00001069,cust_000454,2024-10-12 01:43:00,2024-11-22 01:43:00,9.99,USD,4837,fraud,No Cardholder Authorization,paypal,US,starter,False,True,False,,2025-01-22 01:43:00,resolved
cb_000020,tx_00001106,cust_004960,2024-08-22 21:05:00,2024-09-28 21:05:00,9.99,USD,4834,processing,Duplicate Processing,amex,US,starter,True,False,True,True,2024-12-07 21:05:00,resolved
cb_000021,tx_00001229,cust_004484,2024-05-15 00:33:00,2024-06-26 00:33:00,14.98,USD,4853,service,Cardholder Dispute,amex,US,starter,True,False,False,True,2024-08-25 00:33:00,pending
cb_000022,tx_00001245,cust_000697,2024-12-02 10:17:00,2024-12-28 10:17:00,29.99,USD,10.4,fraud,Card Absent Environment,visa,US,pro,True,True,False,False,2025-02-26 10:17:00,resolved
cb_000023,tx_00001264,cust_003545,2024-05-03 01:30:00,2024-06-01 01:30:00,29.99,USD,10.4,fraud,Card Absent Environment,mastercard,DE,pro,False,False,True,True,2024-07-31 01:30:00,resolved
cb_000024,tx_00001275,cust_000448,2024-02-11 23:48:00,2024-03-02 23:48:00,9.99,USD,10.4,fraud,Card Absent Environment,visa,US,starter,False,True,True,False,2024-05-12 23:48:00,escalated
cb_000025,tx_00001301,cust_007466,2024-09-23 06:23:00,2024-10-13 06:23:00,9.99,USD,12.5,processing,Incorrect Amount,visa,IN,starter,True,False,True,,2024-11-20 06:23:00,escalated
cb_000026,tx_00001305,cust_008314,2024-07-10 19:46:00,2024-07-29 19:46:00,9.99,USD,12.1,processing,Late Presentment,visa,US,starter,True,True,True,True,2024-09-20 19:46:00,escalated
cb_000027,tx_00001312,cust_006677,2024-03-11 21:57:00,2024-04-23 21:57:00,29.99,USD,11.2,authorization,Declined Authorization,amex,US,pro,False,True,True,False,2024-06-14 21:57:00,pending
cb_000028,tx_00001387,cust_004677,2024-06-24 10:16:00,2024-07-10 10:16:00,299.99,USD,4837,fraud,No Cardholder Authorization,amex,US,enterprise,True,True,True,False,2024-08-28 10:16:00,resolved
cb_000029,tx_00001413,cust_001675,2024-05-15 19:27:00,2024-06-27 19:27:00,9.99,USD,4863,fraud,Cardholder Does Not Recognize,visa,UK,starter,True,True,False,False,2024-08-18 19:27:00,escalated
cb_000030,tx_00001426,cust_009379,2024-03-05 03:32:00,2024-04-02 03:32:00,49.98,USD,4863,fraud,Cardholder Does Not Recognize,mastercard,US,pro,True,True,True,,2024-06-02 03:32:00,pending
cb_000031,tx_00001455,cust_006389,2024-06-17 23:37:00,2024-07-18 23:37:00,9.99,USD,4837,fraud,No Cardholder Authorization,visa,BR,starter,True,True,False,False,2024-08-29 23:37:00,resolved
cb_000032,tx_00001466,cust_001039,2024-10-22 04:08:00,2024-11-08 04:08:00,99.99,USD,13.1,service,Merchandise/Services Not Received,amex,UK,business,False,True,False,True,2025-01-25 04:08:00,resolved
cb_000033,tx_00001470,cust_007600,2024-10-14 20:44:00,2024-11-24 20:44:00,99.99,USD,10.4,fraud,Card Absent Environment,visa,US,business,False,True,False,True,2025-01-03 20:44:00,pending
cb_000034,tx_00001495,cust_008864,2024-10-19 01:41:00,2024-11-09 01:41:00,99.99,USD,4863,fraud,Cardholder Does Not Recognize,mastercard,UK,business,True,True,False,True,2024-12-15 01:41:00,resolved
cb_000035,tx_00001504,cust_003503,2024-01-28 21:06:00,2024-02-14 21:06:00,299.99,USD,4837,fraud,No Cardholder Authorization,mastercard,US,enterprise,False,True,True,,2024-04-14 21:06:00,escalated
cb_000036,tx_00001508,cust_000942,2024-03-07 16:05:00,2024-04-18 16:05:00,29.99,USD,4837,fraud,No Cardholder Authorization,visa,IN,pro,True,False,True,,2024-06-30 16:05:00,pending
cb_000037,tx_00001609,cust_008288,2024-03-31 12:29:00,2024-05-11 12:29:00,14.98,USD,4853,service,Cardholder Dispute,visa,UK,starter,False,True,True,True,2024-07-06 12:29:00,resolved
cb_000038,tx_00001692,cust_009368,2024-05-07 09:47:00,2024-06-21 09:47:00,29.99,USD,13.1,service,Merchandise/Services Not Received,visa,UK,pro,False,True,True,True,2024-09-02 09:47:00,pending
cb_000039,tx_00001769,cust_008734,2024-12-25 00:56:00,2025-01-19 00:56:00,29.99,USD,4837,fraud,No Cardholder Authorization,amex,US,pro,False,True,False,False,2025-03-08 00:56:00,pending
cb_000040,tx_00001790,cust_004808,2024-06-20 06:32:00,2024-07-14 06:32:00,99.99,USD,13.1,service,Merchandise/Services Not Received,visa,DE,business,False,True,False,False,2024-08-16 06:32:00,pending
cb_000041,tx_00001834,cust_006702,2024-09-30 04:56:00,2024-10-22 04:56:00,9.99,USD,4853,service,Cardholder Dispute,visa,UK,starter,True,True,True,False,2025-01-12 04:56:00,pending
cb_000042,tx_00001878,cust_000858,2024-01-18 12:25:00,2024-03-03 12:25:00,99.99,USD,4853,service,Cardholder Dispute,visa,FR,business,True,False,True,False,2024-05-06 12:25:00,resolved
cb_000043,tx_00001936,cust_003421,2024-03-09 04:08:00,2024-03-24 04:08:00,29.99,USD,11.1,authorization,Card Recovery Bulletin,visa,NG,pro,False,False,True,True,2024-06-20 04:08:00,pending
cb_000044,tx_00001944,cust_004677,2024-09-26 16:29:00,2024-11-06 16:29:00,39.98,USD,4863,fraud,Cardholder Does Not Recognize,visa,US,pro,True,True,False,False,2025-01-13 16:29:00,pending
cb_000045,tx_00001989,cust_006748,2024-04-02 08:02:00,2024-05-14 08:02:00,99.99,USD,10.4,fraud,Card Absent Environment,mastercard,DE,business,True,True,False,False,2024-07-01 08:02:00,resolved
