user_id,signup_date,signup_month,source,device,country,ab_variant,engagement_score
1,2025-11-24,2025-11,google_ads,tablet,CA,variant_a,0.95
2,2025-02-27,2025-02,organic,desktop,US,variant_b,1.32
3,2025-01-13,2025-01,facebook_ads,mobile,US,variant_b,0.68
4,2025-05-21,2025-05,referral,desktop,US,control,1.54
5,2025-05-06,2025-05,google_ads,mobile,UK,control,0.892
6,2025-04-25,2025-04,facebook_ads,desktop,US,control,0.88
7,2025-03-13,2025-03,google_ads,mobile,US,variant_a,0.85
8,2025-02-22,2025-02,facebook_ads,desktop,FR,control,0.836
9,2025-12-13,2025-12,organic,tablet,Other,variant_b,0.969
10,2025-10-07,2025-10,google_ads,desktop,CA,control,1.1
11,2025-02-14,2025-02,organic,mobile,US,variant_b,1.02
12,2025-10-30,2025-10,google_ads,mobile,US,variant_a,0.85
13,2025-08-05,2025-08,google_ads,desktop,Other,variant_b,0.935
14,2025-01-17,2025-01,email_campaign,mobile,DE,variant_b,1.029
15,2025-01-16,2025-01,organic,desktop,US,control,1.32
16,2025-02-17,2025-02,google_ads,desktop,BR,control,0.88
17,2025-04-22,2025-04,google_ads,mobile,US,variant_b,0.85
18,2025-04-30,2025-04,organic,tablet,AU,control,1.14
19,2025-09-16,2025-09,organic,mobile,CA,variant_a,1.02
20,2025-11-05,2025-11,referral,desktop,UK,control,1.617
21,2025-01-14,2025-01,email_campaign,mobile,US,control,0.935
22,2025-10-15,2025-10,google_ads,desktop,CA,variant_a,1.1
23,2025-04-12,2025-04,email_campaign,mobile,US,variant_a,0.935
24,2025-11-29,2025-11,referral,mobile,AU,control,1.19
25,2025-12-26,2025-12,google_ads,desktop,US,control,1.1
26,2025-10-07,2025-10,organic,mobile,US,variant_a,1.02
27,2025-08-03,2025-08,email_campaign,desktop,UK,variant_b,1.271
28,2025-04-23,2025-04,organic,desktop,US,control,1.32
29,2025-08-18,2025-08,email_campaign,mobile,FR,variant_b,0.888
30,2025-10-29,2025-10,referral,desktop,IN,variant_a,1.155
31,2025-05-23,2025-05,referral,mobile,US,control,1.19
32,2025-01-04,2025-01,organic,desktop,BR,variant_b,1.056
33,2025-03-23,2025-03,organic,mobile,UK,control,1.071
34,2025-12-24,2025-12,organic,desktop,Other,control,1.122
35,2025-08-05,2025-08,google_ads,mobile,UK,variant_b,0.892
36,2025-06-24,2025-06,direct,desktop,UK,control,1.155
37,2025-05-23,2025-05,google_ads,desktop,FR,variant_a,1.045
38,2025-03-21,2025-03,organic,desktop,Other,control,1.122
39,2025-04-21,2025-04,organic,mobile,Other,control,0.867
40,2025-06-22,2025-06,facebook_ads,mobile,US,variant_a,0.68
41,2025-02-22,2025-02,google_ads,mobile,FR,variant_a,0.807
42,2025-02-17,2025-02,organic,mobile,US,control,1.02
43,2025-07-14,2025-07,organic,mobile,FR,control,0.969
44,2025-02-19,2025-02,google_ads,desktop,FR,control,1.045
45,2025-07-03,2025-07,facebook_ads,desktop,Other,control,0.748
46,2025-06-26,2025-06,google_ads,desktop,Other,variant_b,0.935
47,2025-11-06,2025-11,google_ads,mobile,BR,variant_a,0.68
48,2025-05-16,2025-05,google_ads,desktop,US,variant_b,1.1
49,2025-01-23,2025-01,email_campaign,mobile,US,control,0.935
50,2025-08-24,2025-08,facebook_ads,mobile,IN,variant_b,0.51
51,2025-10-02,2025-10,facebook_ads,desktop,US,variant_b,0.88
52,2025-03-05,2025-03,facebook_ads,desktop,US,variant_a,0.88
53,2025-07-13,2025-07,organic,desktop,DE,variant_a,1.452
54,2025-02-10,2025-02,facebook_ads,desktop,CA,control,0.88
55,2025-10-10,2025-10,google_ads,mobile,FR,variant_b,0.807
56,2025-05-31,2025-05,facebook_ads,mobile,US,control,0.68
57,2025-11-18,2025-11,google_ads,desktop,Other,control,0.935
58,2025-11-13,2025-11,email_campaign,mobile,AU,variant_a,0.935
59,2025-07-05,2025-07,facebook_ads,mobile,US,variant_a,0.68
60,2025-10-23,2025-10,google_ads,desktop,FR,control,1.045
61,2025-04-09,2025-04,email_campaign,tablet,Other,control,0.888
62,2025-12-27,2025-12,organic,tablet,UK,variant_b,1.197
63,2025-02-05,2025-02,direct,mobile,US,control,0.85
64,2025-01-24,2025-01,email_campaign,desktop,US,variant_a,1.21
65,2025-12-05,2025-12,email_campaign,mobile,DE,control,1.029
66,2025-04-27,2025-04,facebook_ads,tablet,US,variant_a,0.76
67,2025-05-29,2025-05,email_campaign,mobile,CA,variant_a,0.935
68,2025-02-10,2025-02,google_ads,desktop,BR,variant_b,0.88
69,2025-04-30,2025-04,email_campaign,tablet,DE,variant_a,1.149
70,2025-02-21,2025-02,referral,mobile,CA,variant_b,1.19
71,2025-07-14,2025-07,email_campaign,desktop,UK,control,1.271
72,2025-05-23,2025-05,facebook_ads,desktop,UK,variant_a,0.924
73,2025-08-21,2025-08,google_ads,mobile,US,control,0.85
74,2025-11-22,2025-11,referral,desktop,US,variant_a,1.54
75,2025-07-06,2025-07,referral,desktop,FR,control,1.463
76,2025-03-25,2025-03,organic,mobile,DE,variant_a,1.122
77,2025-07-09,2025-07,facebook_ads,tablet,DE,control,0.836
78,2025-07-01,2025-07,referral,desktop,UK,control,1.617
